station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Upney,4,4013.84,151.8,7.67,6133.3,0.0248,District
Edgware Road (DIS),1,10210.57,177.9,9.0,7200.0,0.0247,District/H&C and Circle
Theydon Bois,6,1271.77,72.4,3.67,2933.3,0.0247,Central
Royal Oak,2,3759.06,117.7,6.0,4800.0,0.0245,H&C and Circle
Barons Court,2,10254.67,358.3,18.33,14666.7,0.0244,District/Piccadilly
Barkingside,4,2126.53,106.8,5.5,4400.0,0.0243,Central
Cockfosters,5,2295.11,84.3,4.33,3466.7,0.0243,Piccadilly
Gallions Reach,3,3267.78,124.9,6.42,5133.3,0.0243,DLR
Snaresbrook,4,3185.56,126.1,6.5,5200.0,0.0242,Central
Stamford Hill,3,1750.35,56.3,2.92,2333.3,0.0241,LO Weaver
Charing Cross LU,1,28742.3,390.3,20.5,16400.0,0.0238,Bakerloo/Northern
Kilburn Park,2,4498.42,182.8,9.58,7666.7,0.0238,Bakerloo
Oakwood,5,3673.72,162.1,8.5,6800.0,0.0238,Piccadilly
Stepney Green,2,9351.41,231.4,12.17,9733.3,0.0238,District/H&C and Circle
West Finchley,4,2504.84,162.5,8.58,6866.7,0.0237,Northern
Royal Victoria,3,4390.06,125.8,6.67,5333.3,0.0236,DLR
Westferry,2,7001.81,251.3,13.33,10666.7,0.0236,DLR
Cambridge Heath,2,2815.83,91.6,4.92,3933.3,0.0233,LO Weaver
Turnham Green,2/3,8392.9,337.7,18.17,14533.3,0.0232,District/Piccadilly
West Acton,3,1842.99,83.7,4.67,3733.3,0.0224,Central
Camden Road,2,6572.74,90.5,5.08,4066.7,0.0222,LO Mildmay
London City Airport,3,6204.76,118.3,6.67,5333.3,0.0222,DLR
Neasden,3,4594.73,186.1,10.5,8400.0,0.0222,Jubilee
Preston Road,4,4280.32,190.6,10.83,8666.7,0.022,Metropolitan
Kilburn High Road,2,1227.49,35.1,2.0,1600.0,0.0219,LO Lioness
Pimlico,1,13531.07,306.2,17.67,14133.3,0.0217,Victoria
Deptford Bridge,2/3,4278.96,166.2,9.75,7800.0,0.0213,DLR
East Acton,2,6208.27,199.0,11.67,9333.3,0.0213,Central
South Kenton,4,1954.68,78.0,4.58,3666.7,0.0213,Bakerloo/LO Lioness
Arsenal,2,3740.66,198.3,11.67,9333.3,0.0212,Piccadilly
Hillingdon,6,2562.23,131.5,7.75,6200.0,0.0212,Metropolitan/Piccadilly
Gospel Oak,2,4349.49,99.5,5.92,4733.3,0.021,LO Mildmay/LO Suffragette
White City,2,14750.98,211.7,12.67,10133.3,0.0209,Central
