transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
02/25/2022 02:00:00 PM,subway,605,"168 St (A,C,1)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,92,0,40.840717,-73.93956,POINT (-73.93956 40.840717)
02/25/2022 02:00:00 AM,subway,126,Jefferson St (L),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,11,0,40.706608,-73.92291,POINT (-73.92291 40.706608)
02/25/2022 04:00:00 PM,subway,14,"23 St (R,W)",Manhattan,omny,OMNY - Full Fare,267,9,40.741302,-73.98934,POINT (-73.98934 40.741302)
02/25/2022 07:00:00 AM,subway,397,"86 St (4,5,6)",Manhattan,metrocard,Metrocard - Other,56,3,40.77949,-73.95559,POINT (-73.95559 40.77949)
02/25/2022 10:00:00 PM,subway,169,"Canal St (A,C,E)",Manhattan,metrocard,Metrocard - Other,7,0,40.720825,-74.005226,POINT (-74.005226 40.720825)
02/25/2022 05:00:00 AM,subway,405,23 St (6),Manhattan,metrocard,Metrocard - Full Fare,8,3,40.739864,-73.9866,POINT (-73.9866 40.739864)
02/25/2022 04:00:00 PM,subway,353,"President St-Medgar Evers College (2,5)",Brooklyn,metrocard,Metrocard - Seniors & Disability,2,0,40.667885,-73.95068,POINT (-73.95068 40.667885)
02/25/2022 05:00:00 PM,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Full Fare,289,1,40.715477,-74.00927,POINT (-74.00927 40.715477)
02/25/2022 11:00:00 AM,subway,376,Brook Av (6),Bronx,metrocard,Metrocard - Students,6,0,40.807568,-73.91924,POINT (-73.91924 40.807568)
02/25/2022 08:00:00 PM,subway,606,"Court Sq (E,G,M,7)",Queens,metrocard,Metrocard - Unlimited 7-Day,52,0,40.747845,-73.94383,POINT (-73.94383 40.747845)
02/25/2022 02:00:00 PM,subway,288,Myrtle-Willoughby Avs (G),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,34,0,40.69457,-73.94904,POINT (-73.94904 40.69457)
02/25/2022 06:00:00 AM,subway,212,"Kingsbridge Rd (B,D)",Bronx,metrocard,Metrocard - Seniors & Disability,4,0,40.866978,-73.89351,POINT (-73.89351 40.866978)
02/25/2022 11:00:00 AM,subway,77,Kings Hwy (N),Brooklyn,metrocard,Metrocard - Other,4,1,40.603924,-73.980354,POINT (-73.980354 40.603924)
02/25/2022 12:00:00 PM,subway,127,DeKalb Av (L),Brooklyn,metrocard,Metrocard - Other,15,2,40.70381,-73.91843,POINT (-73.91843 40.70381)
