line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
DLR,IB,Pontoon Dock,West Silvertown,242.0,19.0,40.0,71.0,40.0,37.0,35.0
DLR,IB,West Silvertown,Canning Town (Stratford),120.0,8.0,20.0,36.0,20.0,18.0,18.0
DLR,IB,West Silvertown,Canning Town,122.0,11.0,20.0,35.0,20.0,19.0,17.0
DLR,IB,Beckton,Gallions Reach,224.0,15.0,40.0,73.0,40.0,36.0,20.0
DLR,IB,Gallions Reach,Cyprus,224.0,15.0,39.0,73.0,40.0,36.0,21.0
DLR,IB,Cyprus,Beckton Park,224.0,14.0,40.0,73.0,40.0,36.0,21.0
DLR,IB,Beckton Park,Royal Albert,224.0,14.0,40.0,72.0,40.0,37.0,21.0
DLR,IB,Royal Albert,Prince Regent,224.0,14.0,40.0,72.0,40.0,36.0,22.0
DLR,IB,Prince Regent,Custom House,224.0,13.0,40.0,72.0,40.0,37.0,22.0
DLR,IB,Custom House,Royal Victoria,224.0,13.0,40.0,72.0,40.0,37.0,22.0
DLR,IB,Royal Victoria,Canning Town (Stratford),102.0,3.0,20.0,34.0,20.0,18.0,7.0
DLR,IB,Royal Victoria,Canning Town,122.0,10.0,20.0,38.0,20.0,18.0,16.0
DLR,IB,Canning Town (Stratford),Star Lane,176.0,12.0,20.0,68.0,20.0,34.0,22.0
DLR,IB,Star Lane,West Ham,176.0,11.0,20.0,69.0,20.0,33.0,23.0
DLR,IB,West Ham,Abbey Road,176.0,11.0,20.0,69.0,20.0,33.0,23.0
DLR,IB,Abbey Road,Stratford High Street,176.0,11.0,20.0,69.0,20.0,33.0,23.0
DLR,IB,Stratford High Street,Stratford,176.0,11.0,20.0,69.0,20.0,33.0,23.0
